year,fullName,primaryNationality,gender,photoUrl,type,typeOfDeath,status,employedAs,organizations,jobs,coverage,mediums,country,location,region,state,locality,province,localOrForeign,sourcesOfFire,motiveConfirmed,impunityMurder,tortured,captive,threatened,charges,lengthOfSentence,impCountry,sentence,locationImprisoned
1992,Acquitté Kisembo,,Male,,Journalist,N/A,Missing,Staff,Agence France-Presse,Print Reporter,,,Democratic Republic of the Congo,Bunia,,,Bunia,,Local,,,,,,,,,,,
1994,Ahmed Al-Dulami,Iraq,Male,https://cpj-photos.s3.us-west-2.amazonaws.com/prod/Ahmedal-Dulamicap.jpg_7ed965f1-0d8c-46eb-a61c-044d687194d6.jpeg,Journalist,N/A,Missing,Staff,Al-Sharqiya TV,Camera Operator,"Politics,War",Television,Iraq,Baiji,,,Baiji,,Local,,,,,,,,,,,
1995,Ahmed Rilwan Abdulla,Maldives,Male,https://cpj-photos.s3.us-west-2.amazonaws.com/prod/Maldives_7_1.jpg_ef157674-0f84-4329-b441-332e1bba7012.jpeg,Journalist,N/A,Missing,Staff,Minivan News,,,,Maldives,Malé,,,Malé,,Local,,,,,,,,,,,
1995,Alfredo Jiménez Mota,Mexico,Male,,Journalist,N/A,Missing,Staff,El Imparcial,Print Reporter,Crime,Print,Mexico,Hermosillo,,,Hermosillo,,Local,,,,,,,,,,,
1995,Ali Astamirov,Russia,Male,,Journalist,N/A,Missing,Staff,Agence France-Presse,Print Reporter,,,Russia,Ingushetia,,,Ingushetia,,Local,,,,,,,,,,,
1995,Andrei Bazvluk,Ukraine,Male,,Journalist,N/A,Missing,Staff,Lita-M,,,,Russia,Chechnya,,,Chechnya,,Foreign,,,,,,,,,,,
1995,Austin Tice,USA,Male,https://cpj-photos.s3.amazonaws.com/Austin%20Tice%20AP-2018-03-28-1522270549561.jpg,Journalist,N/A,Missing,Freelance,Freelance,Photographer,War,"Internet,Print",Syria,Damascus,,,Damascus,,Foreign,,,,,,,,,,,
1996,Aziz Bouabdallah,Algeria,Male,,Journalist,N/A,Missing,Staff,Al-Alam al-Siyassi,Columnist/Commentator,Unknown,Print,Algeria,,,,,,Local,,,,,,,No Charge,Not Sentenced,,Not Sentenced,
1996,Azory Gwanda,Tanzania,Male,https://cpj-photos.s3.us-west-2.amazonaws.com/prod/Azory.png_d49a369b-efb8-418d-80eb-4872d9324df9.png,Journalist,N/A,Missing,Staff,"Mwanachi,The Citizen","Print Reporter,Internet Reporter",,,Tanzania,,,,,,Local,,,,,,,,,,,
1996,Bashar Fahmi,,,,Journalist,N/A,Missing,Staff,Al-Hurra,,,,Syria,Aleppo,,,Aleppo,,Foreign,,,,,,,,,,,
